Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1604,Gobolt,Logistics,"B2B Logistics provider","New Delhi",MCube8,"Seed Funding",N/A,2016-06-14,nan
1605,Jivox,Technology,"Data Driven Advertising platform",Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney","Private Equity","60,00,000",2016-06-14,nan
1606,Sminq,"Consumer Internet","Queue management Mobile app",Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar","Seed Funding","10,00,000",2016-06-14,nan
1607,CureJoy,"Consumer Internet","Online Alternative health community platform",Bangalore,"Accel Partners India","Private Equity","44,00,000",2016-06-14,nan
1608,Oneway.cab,"Consumer Internet","Taxi Rental Platform",Vadodara,"Indian Angel Network","Seed Funding","4,50,000",2016-06-15,nan
1609,GrabOnRent,eCommerce,"On-demand product rental marketplace",Bangalore,"IvyCap Ventures and Unicorn India Ventures","Private Equity",N/A,2016-06-15,nan
1610,"Diro Labs","Consumer Internet","Contact Management Mobile App","New Delhi","Info Edge (India) Ltd","Private Equity","4,50,000",2016-06-16,nan
1611,"Unnati Helpers","Consumer Internet","Help Hiring Platform",Gurgaon,"Info Edge (India) Ltd","Private Equity","6,00,000",2016-06-16,nan
1612,Athletto,"Consumer Internet","Sports Venue discovery and booking platform",Bangalore,"Atul Ingle","Seed Funding",N/A,2016-06-16,nan
1613,Saavn,"Consumer Internet","Web/Mobile Music Streaming service",USA,"Guy Oseary","Private Equity",N/A,2016-06-16,nan
1614,Voonik,eCommerce,"Online Women\\xe2\\x80\\x99s Fashion Marketplace",Bangalore,"Sequoia Capital","Private Equity","2,00,00,000",2016-06-16,nan
1615,ThinkPhi,Technology,"Sustainable Green Tech Solution developer",Mumbai,"Nimmagadda Prasad","Seed Funding",N/A,2016-06-16,nan
1616,Cleartax,"Consumer Internet","Online Tax Filing Platform","New Delhi","Ravi Adusumalli, SAIF Partners","Private Equity","1,20,00,000",2016-06-17,nan
1617,"Silvan Innovation Labs",Technology,"Home Automation Solutions",Bangalore,"Infuse Ventures","Private Equity","9,00,000",2016-06-17,nan
1618,GreytHR,Technology,"Payroll & HR Software Developer",Bangalore,"New Enterprise Associates (NEA), Blume Ventures","Private Equity","52,00,000",2016-06-17,nan
1619,Duffl,eCommerce,"Fashion Rental Marketplace",Bangalore,"BetOnIndia Technology Pvt Ltd","Seed Funding",N/A,2016-06-17,nan
1620,BYG,"Consumer Internet","Fitness centre Discovery & Booking Mobile app",Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)","Seed Funding",N/A,2016-06-17,nan
1621,Dipper,eCommerce,"Freight Logistics Marketplace","New Delhi","Undisclosed investor","Seed Funding",N/A,2016-06-20,nan
1622,Qonfuse,"Consumer Internet","Online Test Papers for competitive exams","New Delhi","Hamraj Kumar","Seed Funding",N/A,2016-06-20,nan
1623,"The Indian IRIS","Consumer Internet","Govt Policy Research & Information portal",Ahmedabad,"Timbru Ventures","Seed Funding",N/A,2016-06-20,nan
1624,Onspoon,"Consumer Internet","Online Platform for Event Sponsorship",Mumbai,"Swan Angel Network","Seed Funding","1,50,000",2016-06-21,nan
1625,REstate,"Consumer Internet","Real Estate Platform",Bangalore,"Idein Ventures","Seed Funding",N/A,2016-06-21,nan
1626,Cleartrip,"Consumer Internet","Online Travel Agency",Mumbai,"Concur Technologies, Gund Investment","Private Equity",N/A,2016-06-21,nan
1627,ProcMart,"Consumer Internet","Online Procurement Marketplace",Noida,IndiaMart,"Private Equity",N/A,2016-06-21,nan
1628,Celerix,Technology,"Fintech Product Development & Services Startup",Bangalore,"Bitkemy Ventures","Seed Funding","4,00,000",2016-06-21,nan
1629,NatureNama,"Consumer Internet","Online Outdoors & travel",Mumbai,"Unicorn Venture","Seed Funding","2,25,000",2016-06-21,nan
1630,CyclopsMedtech,Technology,"Medical Technology Provider",Bangalore,"CP Bothra","Seed Funding",N/A,2016-06-21,nan
1631,"Syona Cosmetics",FMCG,"Beauty Products & Training to Salons & Spas",Chennai,"The Chennai Angels","Seed Funding","1,50,000",2016-06-21,nan
1632,PrettySecrets,eCommerce,"Women Lingerie Store",Mumbai,"RB Investments PTE Ltd, Orios Venture Partners","Private Equity","60,00,000",2016-06-21,nan
1633,SpiderG,"Consumer Internet","Online invoice app for SMEs",Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi","Seed Funding","1,50,000",2016-06-22,nan
1634,FarEye,Technology,"Logistics Management Software","New Delhi","Saif Partners","Private Equity","35,00,000",2016-06-23,nan
1635,"The Uolo","Consumer Internet","School Parent Communication App",Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora","Seed Funding","2,10,000",2016-06-23,nan
1636,Staqu,Technology,"Artificial Intelligence based search platform",Gurgaon,"Indian Angel Network","Seed Funding",N/A,2016-06-23,nan
