Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
2426,UniLog,"ECommerce Data Analytics Platform",nan,Bangalore,"Kalaari Capital","Private Equity",N/A,2015-09-17,
2427,Paintcollar,"Designer Merchandize Marketplace",nan,Mumbai,Applyifi,"Seed Funding",N/A,2015-09-17,"Bridge Funding"
2428,YepMe,"Private label Fashion eTailer",nan,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners","Private Equity","7,50,00,000",2015-09-17,"Series D"
2429,Bueno,"Online Food ordering & delivery",nan,Gurgaon,"High Networth Individuals (No details)","Seed Funding","6,00,000",2015-09-17,
2430,Plabro,"Real Estate Broker Platform App",nan,"New Delhi","Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh","Seed Funding","3,50,000",2015-09-18,
2431,CureJoy,"Online Health & Wellness platform",nan,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna","Private Equity","11,50,000",2015-09-18,"Pre-Series A"
2432,"Briston Technomach","Internet of Things platform",nan,"New Delhi",Undisclosed,"Seed Funding","1,50,000",2015-09-18,
2433,LabStreet,"Diagnostic Labs aggregator platform",nan,Gurgaon,"Multiple investors","Seed Funding","1,50,000",2015-09-18,
2434,DailyNinja,"Hyperlocal Delivery Platform",nan,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,","Seed Funding",N/A,2015-09-19,
2435,"Portea Medical","Home Medical Care Services",nan,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast","Private Equity","3,75,00,000",2015-09-21,
2436,"Neotrade Analytics","Real-Time stock data platform",nan,Bangalore,Rainmatter,"Seed Funding","2,35,000",2015-09-21,
2437,DishCo,"Food discovery & table booking app",nan,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra","Seed Funding",N/A,2015-09-21,
2438,LafaLafa,"coupons and cashback aggregator app",nan,Mumbai,"500 Startups","Seed Funding","1,25,000",2015-09-21,"thru Accelerator"
2439,ConnectAbank,"Financial Products lead generation platform",nan,Mumbai,"Prakhar Bumb","Seed Funding",N/A,2015-09-21,
2440,VillFarm,"Sustainable Agri-inputs Firm",nan,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards","Seed Funding",N/A,2015-09-22,
2441,Bestdealfinance,"Financial Services Portal",nan,Mumbai,"Kalaari Capital, YourNest Angel Fund","Private Equity","30,00,000",2015-09-22,"Series A"
2442,GameXS.in,"Pre-owned games Marketplace",nan,"New Delhi","Lead Angels","Seed Funding",N/A,2015-09-22,
2443,"The Man Company","Content-based Subscription eCommerce platform",nan,"New Delhi","Karan Bajwa, Amanpreet Bajaj, Manish Vij","Seed Funding",N/A,2015-09-22,
2444,"Virtual Logic","virtual reality, 3d simulation and stereoscopic products",nan,Bangalore,"Swarnim Multiventures","Private Equity","8,00,000",2015-09-22,"Pre-Series A"
2445,Furdo,"Online Interior Designing platform",nan,Bangalore,"Bhavdeep Reddy","Seed Funding","4,00,000",2015-09-22,
2446,LogiNext,"End-to-end Logistics platform",nan,Mumbai,Paytm,"Private Equity","1,00,00,000",2015-09-22,"Series A"
2447,Korra,"Private Label Apparel sales",nan,"New Delhi","Asha Jadeja Motwani & Others","Seed Funding","3,00,000",2015-09-22,
2448,Credihealth,"Healthcare Consulting platform",nan,Gurgaon,"Rajat Malhotra","Seed Funding",N/A,2015-09-23,
2449,Amigobulls,"Stock Market Portal",nan,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others","Seed Funding",N/A,2015-09-23,
2450,SilverPush,"Cross-device retargeting platform",nan,"Gurgaon / SFO","M&S Partners","Private Equity","12,00,000",2015-09-23,"Series A"
2451,Juggernaut,"Digital & Physical Publishing platform",nan,"New Delhi","William Bissell, Neeraj Aggarwal, Nandan Nilekani","Private Equity","22,50,000",2015-09-23,"Series A"
2452,InnerChef,"Food Delivery Platform",nan,"New Delhi","Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others","Private Equity","17,50,000",2015-09-23,"pre-Series A"
2453,Quintype,"Data Driven Publishing platform",nan,Bangalore,"Raghav Bahl","Private Equity","33,00,000",2015-09-24,
2454,Capabiliti,"Employee OnBoarding & Orientation platform",nan,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham","Seed Funding","4,00,000",2015-09-24,
2455,"Fourth Partner Energy","Solar Power Solutions company",nan,Hyderabad,"Infuse Ventures, The Chennai Angels","Private Equity","20,00,000",2015-09-24,"Series A"
2456,Licious,"Online Meat Ordering platform",nan,Bangalore,"Kanwaljit Singh, TV Mohandas Pai","Seed Funding","10,00,000",2015-09-24,
2457,TravelKhana,"online meal-booking platform for train travelers",nan,"New Delhi","Astarc Ventures & Others","Seed Funding",N/A,2015-09-25,"Pre-Series A"
2458,Quickli,"hyperlocal delivery platform",nan,"New Delhi","500 Startups, Mato Peric & Others","Seed Funding",N/A,2015-09-28,
2459,"Ola Cabs","Cab Booking app platform",nan,Bangalore,"Didi Kuaidi","Private Equity","3,00,00,000",2015-09-28,"late Stage (part of $500M funding rnd)"
2460,Paytm,"E-Commerce & M-Commerce platform",nan,"New Delhi","Alibaba Group, Ant Financial","Private Equity","68,00,00,000",2015-09-29,"Late Stage (Alibaba @ 40% equity)"
2461,Inmobi,"Mobile Advertising platform",nan,Bangalore,"Tennenbaum Capital Partners & Others","Private Equity","10,00,00,000",2015-09-29,"Late Stage"
2462,Peppertap,"Hyperlocal Grocery Delivery",nan,Gurgaon,"Sequoia India, SAIF Partners.","Private Equity","3,60,00,000",2015-09-29,"Series B"
2463,Hugefly,"Ecommerce Product recommendation platform",nan,Pune,"Mayank Singhal and others","Seed Funding",N/A,2015-09-29,
2464,Brigge,"Activity Based Social Network",nan,Chennai,"The Chennai Angels","Seed Funding",N/A,2015-09-29,
2465,Zakoopi,"Fashion Discovery platform",nan,"New Delhi","Uniqorn Ventures","Seed Funding","3,50,000",2015-09-29,
2466,LoanCircle,"Consumer lending marketplace",nan,Bangalore,"Zishaan Hayath, Rahul Khanna & Others","Seed Funding",N/A,2015-09-29,
2467,Infoworks,"Big Data Management Platform",nan,"Bangalore / USA","Nexus Venture Partners, Knoll Ventures and others","Private Equity","50,00,000",2015-09-30,
2468,RedDoorz,"Budget Accommodation Platform",nan,Noida,"Jungle Ventures","Seed Funding","10,00,000",2015-09-30,
2469,FirstTouch,"Local Mobile OS",nan,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal","Seed Funding",N/A,2015-09-30,"Super angel round"
2470,"Eywa Media","Digital Signal processing platform",nan,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures","Seed Funding","10,00,000",2015-09-30,
2471,Snapdeal,"Ecommerce Marketplace",nan,"New Delhi","Alibaba, Foxconn, Softbank","Private Equity","50,00,00,000",2015-08-01,"Late Stage Round 7th (More details)"
2472,Ressy,"Restaurant Discount app",nan,Pune,"Mohandas Pai & others","Seed Funding","4,00,000",2015-08-01,
2473,Cuelearn,"Tech-enabled learning",nan,"New Delhi","Alok Mittal","Seed Funding",N/A,2015-08-03,
2474,"Connect India","ECommerce Logistics provider",nan,"New Delhi",Aavishkaar,"Private Equity","50,00,000",2015-08-03,"Series A"
2475,"The Home Salon","on-demand home beauty and wellness portal",nan,Mumbai,VentureNursery,"Seed Funding",N/A,2015-08-03,
2476,Jusride,"Self Driven Car rental",nan,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal","Seed Funding",N/A,2015-08-03,
2477,Oyorooms,"Budget Hotel accommodation brand",nan,"New Delhi","SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India","Private Equity","10,00,00,000",2015-08-03,"Series B"
2478,Glowship,"Energy & Environment Online Marketplace",nan,Bangalore,"Infuse Ventures","Seed Funding",N/A,2015-08-03,
2479,Wizrocket,"User Engagment & Analytics platform",nan,Mumbai,"Sequoia Capital, Accel Partners","Private Equity","96,00,000",2015-08-03,"Series B"
2480,Pickingo,"On-Demand Delivery Logistics",nan,"New Delhi","Orios Venture Partners, Zishaan Hayath","Private Equity","13,00,000",2015-08-04,"Series A"
2481,Grex,"fund raising platform for startups",nan,Pune,"Kunal Bajaj, Chandru Badrinarayanan","Seed Funding","6,50,000",2015-08-05,
2482,LetsTransport,"Logistics Tech Platform",nan,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra","Seed Funding","13,00,000",2015-08-05,
2483,"Zo Rooms","Online budget hotel chain",nan,"New Delhi","Tiger Global Management, Orios Venture Partners","Private Equity","3,00,00,000",2015-08-05,"Series A"
2484,Doormint,"Hyperlocal Handyman services",nan,Mumbai,"Helion Venture Partners, Kalaari Capital","Private Equity","30,00,000",2015-08-05,"Series A"
2485,NightStay,"hotel booking app",nan,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh","Seed Funding","5,00,000",2015-08-05,
2486,Zocalo,"Rental Accomodation finder",nan,"New Delhi","Sachin Bhatia, Rajesh Sawhney","Seed Funding",N/A,2015-08-05,
2487,"Sunday Realty Solutions","Tech Platform for property brokers",nan,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan","Seed Funding","7,85,000",2015-08-05,
2488,Klozee,"Luxury Apparel rental",nan,Bangalore,"Tracxn Labs","Seed Funding",N/A,2015-08-06,
2489,Appvigil,"App security\\xc2\\xa0 testing platform",nan,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave","Seed Funding","5,00,000",2015-08-06,"pre Series-A"
2490,practo,"Doctor Appointment booking app",nan,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners","Private Equity","9,00,00,000",2015-08-06,"Series C"
2491,LoudShout,"anonymous bulletin board app",nan,"New Delhi","Sanjay Sethi, Ravi Jaipuria & others","Seed Funding",N/A,2015-08-06,
2492,Wetravelsolo,"Travel community platform",nan,"New Delhi","CCube Angels, Frontline Strategy","Seed Funding",N/A,2015-08-06,
2493,Ketto,"Crowd funding platform",nan,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture","Seed Funding","7,00,000",2015-08-06,
2494,Ezetap,"Mobile based PoS solution",nan,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings","Private Equity","2,50,00,000",2015-08-06,"Series C"
2495,"NDTV ecommerce venture","Car & Bike ecommerce platform",nan,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita","Private Equity",N/A,2015-08-06,"Series A"
2496,"Carl\\xe2\\x80\\x99s Jr","Fast food Chain Franchisee",nan,Gurgaon,"YouWeCan Ventures","Seed Funding","6,30,000",2015-08-07,
2497,EasyRewardz,"Loyalty Programs & Reward Points",nan,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis","Private Equity","5,00,000",2015-08-07,"Pre-Series A"
2498,GIBSS,"Energy saving solutions provider",nan,Mumbai,"responsAbility Investments, Infuse Ventures","Private Equity",N/A,2015-08-07,"Series A"
2499,StoreMore.in,"Self-Storage Spaces",nan,Noida,"Bedrock Ventures","Seed Funding",N/A,2015-08-07,
2500,iOrderFresh,"Grocery retail Mobile app",nan,"New Delhi","Best Foodworks","Seed Funding",N/A,2015-08-07,
2501,MyTaxiIndia,"Taxi Rental platform",nan,Gurgaon,"Nihon Kotsu,","Private Equity","5,00,000",2015-08-10,"Pre Series-A"
2502,eSadar,ecommerce,nan,"New Delhi","Neha Vats, Gaurav Vats","Seed Funding","80,000",2015-08-10,
2503,"Actionable Analytics","Machine Learning Platform",nan,"New Delhi/ Houston","B M Gupta, Vinod Singhal","Seed Funding",N/A,2015-08-10,
2504,MyPoolin,"mobile social network",nan,"New Delhi","QPrize from Qualcomm Ventures","Seed Funding","2,50,000",2015-08-10,"QPrize Contest Winners"
2505,"NearBuy (previously\\xc2\\xa0 groupon India)","Hyper-Local Ecommerce",nan,"New Delhi","Sequoia Capital","Private Equity","1,60,00,000",2015-08-10,"Series A"
2506,Inkmonk,"Online printing marketplace",nan,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture","Seed Funding","2,50,000",2015-08-10,
2507,ToneTag,"mobile payment software platform",nan,Bangalore,"Reliance Capital Venture","Private Equity","10,00,000",2015-08-10,"Series A"
2508,"Grey Orange","Automated Storage & Warehousing Solution",nan,Gurgaon,"Tiger Global Management","Private Equity","3,00,00,000",2015-08-10,"Series B"
2509,Livspace,"Home Design & D\\xc3\\xa9cor solutions",nan,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners","Private Equity","80,00,000",2015-08-11,"Series A"
2510,"WOW! MOMO","Quick Service Restaurant Chain",nan,Kolkata,"Indian Angel Network","Seed Funding","16,00,000",2015-08-11,
2511,RainCan,"Subscription based Online Grocery platform",nan,Pune,"Ajeet Khurana & Others","Seed Funding","1,00,000",2015-08-11,
2512,"Allygrow Technologies","engineering services company",nan,Mumbai,"Zodius Technology Fund","Private Equity","2,00,00,000",2015-08-11,"Series A"
2513,Infogain,"Business and IT consulting",nan,"New Delhi / US",ChrysCapital,"Private Equity","6,30,00,000",2015-08-11,N/A
2514,OneAssist,"Credit Card Fraud protection solutions",nan,Mumbai,"Sequoia Capital, Lightspeed Ventures","Private Equity","75,00,000",2015-08-12,"Series B"
2515,BigBasket,"Online & mobile Grocery store",nan,Bangalore,"Bessemer Venture Partners","Private Equity","5,00,00,000",2015-08-12,"Series C"
2516,Sheroes,"Career Community for Women",nan,Noida,"Quintillion Media, 500 Startups","Seed Funding","7,70,000",2015-08-12,
2517,Scripbox,"Mutual Fund Investing platform",nan,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma","Private Equity","25,00,000",2015-08-12,"Series A"
2518,etaout,"Ecommerce Marketing Software Platform",nan,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors","Seed Funding","5,00,000",2015-08-13,
2519,"IFMR Holdings","Financial Inclusion platform",nan,Chennai,"Accion, LeapFrog Investments, Lok Capital","Private Equity","2,50,00,000",2015-08-13,"Series B"
2520,Massblurb,"Digital Marketing automation solution",nan,Mumbai,"LetsVenture, Mumbai Angels","Seed Funding",N/A,2015-08-13,
2521,Agrostar,"Mobile Commerce for Farmers",nan,Pune,"IDG Ventures","Private Equity","40,00,000",2015-08-13,"Series A"
2522,VoxWeb,"Picture based Social App",nan,Mumbai,"Jitendra Gupta & others","Seed Funding","1,00,000",2015-08-14,
2523,Trukky,"Logistics service platform",nan,Ahmedabad,"Gujarat based angel investors, MMY co-Founder","Seed Funding","2,45,000",2015-08-14,
2524,VanityCube,"On-Demand Beauty Services",nan,"New Delhi","Group of angel investors","Seed Funding",N/A,2015-08-14,
2525,Edu4Share,"Exam Preparation Platform",nan,"New Delhi","Nalin Jain & other angel investors","Seed Funding","2,20,000",2015-08-17,
2526,YourStory,"Startup Focused Online Publisher",nan,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay","Seed Funding",N/A,2015-08-17,
2527,Sampurnearth,"Waste Management Solutions",nan,Mumbai,"Intellecap Impact Investment Network, family office fund","Seed Funding","1,60,000",2015-08-17,
2528,Orobind,"App based Fitness coaching",nan,Bangalore,"Existing & New Investors","Private Equity",N/A,2015-08-17,"pre series A"
2529,Fixy,"On demand cleaning & fixing services",nan,Mumbai,VentureNursery,"Seed Funding",N/A,2015-08-17,
2530,"MSM Box","Beauty & Lifestyle platform",nan,"New Delhi","Rohit Goel","Seed Funding",N/A,2015-08-17,
2531,ShadowFax,"on-demand delivery service",nan,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik","Seed Funding","3,10,000",2015-08-17,
2532,"Gadgets 360","Car & Bike ecommerce platform",nan,"New Delhi","One97 Communications","Private Equity",N/A,2015-08-17,"Strategic Investment"
2533,Roposo,"Fashion Discovery platform",nan,Gurgaon,"Tiger Global","Private Equity","1,50,00,000",2015-08-18,"Series B"
2534,IntelligenceNODE,"Data Analytics Platform",nan,Mumbai,"New Enterprise Associates, Orios Venture Partners","Private Equity","42,00,000",2015-08-18,"Series A"
2535,HyperVerge,"Deep Learning Cloud Algorithms",nan,Chennai,"NEA, Milliways Ventures, Naya Ventures","Seed Funding","10,00,000",2015-08-18,
2536,Twyst,"Location based engagement & rewards platform",nan,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal","Seed Funding",N/A,2015-08-18,
2537,IDfy,"Online Identity Verification Services platform",nan,Mumbai,"NEA, Blume Ventures & others","Private Equity",N/A,2015-08-18,"Series A"
2538,Zoojoo.be,"Corporate Wellness App",nan,Bangalore,"RoundGlass Partners","Private Equity","10,00,000",2015-08-18,"Series A"
2539,Fashionove,"Fashion Search & Review Platform",nan,Kolkata,"Umesh Yadav","Seed Funding",N/A,2015-08-19,
2540,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",nan,Mumbai,"Unilazer Ventures","Private Equity","24,00,000",2015-08-19,
2541,Envoged,"pre-owned Luxury online apparel seller",nan,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar","Seed Funding",N/A,2015-08-19,
2542,MebelKart,"Online Furniture Marketplace",nan,Bangalore,AskMe,"Private Equity","2,00,00,000",2015-08-19,
2543,LabsAdvisor,"Online Diagnostic Tests Marketplace",nan,"New Delhi","Group of Angel Investors","Seed Funding","1,56,000",2015-08-20,
2544,Flatpebble,"Online marketplace for Photographers",nan,Hyderabad,"Indian Angel Network","Seed Funding","6,00,000",2015-08-20,
2545,Bluegape.com,"Visual Blogging platform",nan,"New Delhi","ah! Ventures, Times Internet, Rudy Gopalakrishnan","Seed Funding","6,00,000",2015-08-20,
2546,ePoise,"Job Search Platform",nan,Bangalore,"Orios Venture Partners, Amit Ranjan & others","Seed Funding","5,00,000",2015-08-21,
2547,"Jolly Food Fellow","Food Customer analytics platform",nan,Ahmedabad,"The 1947","Seed Funding","3,00,000",2015-08-24,
2548,BookMeIn,"Professional Service Appointment booking service",nan,Mumbai,"Ajmera Group of Companies","Seed Funding","4,00,000",2015-08-24,
2549,iZofy,"Scientific Horoscope Online Assistance platform",nan,Kolkata,"Prime Capital Markets Ltd","Seed Funding",N/A,2015-08-24,
2550,rBus,"Tech enabled AC bus service",nan,Mumbai,"India Quotient, Anupam Mittal & others","Seed Funding",N/A,2015-08-24,
2551,"Qyk App","On-Demand App based Professional service provider",nan,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua","Private Equity","10,00,000",2015-08-25,"pre-series A"
2552,EazyDiner,"Restaurant Reservation Platform",nan,Gurgaon,"DSG Consumer Partners, Saama Capital","Private Equity","30,00,000",2015-08-25,"Series A"
2553,RevX,"Cross-channel CRM platform",nan,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital","Private Equity","40,00,000",2015-08-25,"Series A"
2554,ICustomMadeIt,"Professional Custom creators Marketplace",nan,Pune,"Group of Angel Investors","Seed Funding","2,50,000",2015-08-25,
2555,PickMyLaundry,"on-Demand Washing & Dry-Cleaning",nan,"New Delhi","GHV Accelerator","Seed Funding","1,00,000",2015-08-26,
2556,Belita,"On-Demand Beauty Service",nan,Mumbai,"India Quotient, LetsVenture investors, Lead Angels","Seed Funding","4,00,000",2015-08-26,
2557,EzySolare,"solar products and services marketplace",nan,Ahmedabad,"Infuse Ventures","Seed Funding",N/A,2015-08-26,
2558,FoodTalkIndia,"Online Food Community Platform",nan,Gurgaon,"Undisclosed Investor","Seed Funding","5,00,000",2015-08-26,
2559,InstaSafe,"Private Cloud Networks SAAS platform",nan,Bangalore,"Group of Investors","Seed Funding",N/A,2015-08-27,
2560,"Eazy Coach","Education Marketplace",nan,Kolkata,"Ravi Agarwal","Seed Funding",N/A,2015-08-27,
2561,Djubo.com,"Cloud Based Hotel Sales Platform",nan,"New Delhi","Ibibo Group","Private Equity",N/A,2015-08-27,"Strategic Investment"
2562,BetterButter.in,"online recipe sharing platform",nan,"New Delhi","Growx Ventures, Manish Singhal","Seed Funding",N/A,2015-08-28,
2563,Vyomo,"Beauty & Lifestyle Mobile Marketplace",nan,Bangalore,"Rocket Internet","Private Equity","20,00,000",2015-08-28,"Pre-Series A"
2564,RollMafia,"QSR Restaurant Chain",nan,Pune,"Equentia Natural Resources","Seed Funding","1,60,000",2015-08-28,
2565,iamwire,"Digital Media publishing platform",nan,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal","Seed Funding",N/A,2015-08-29,
2566,DropKaffe,"Online Coffee Delivery platform",nan,Bangalore,"Manish Singhal, P39 Capital & Others","Seed Funding","3,00,000",2015-08-31,
2567,Reverie,"Language Localization Cloud platform",nan,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures","Private Equity","40,00,000",2015-08-31,"Series A"
2568,"Infinite Analytics","Big Data & predictive Analysis Platform",nan,Mumbai,"Ratan Tata, Nikhil Vora & others","Private Equity",N/A,2015-08-31,"Bridge Round"
2569,Parcelled,"Online Logistics Platform",nan,Bangalore,"Delhivery, Tracxn Labs","Seed Funding",N/A,2015-07-01,
2570,"Retigence Technologies","Business IT Intelligence Services",nan,Mumbai,"Omnivore Partners","Private Equity",N/A,2015-07-01,"Series A"
2571,"Cloudcherry Analytics","CRM / Analytics platform",nan,Chennai,"The Chennai Angels, IDG Ventures India","Seed Funding","10,00,000",2015-07-01,
2572,HandyHome,"Hyperlocal Electronics repair Service",nan,Mumbai,"Bessemer Ventures, Kae Capital","Seed Funding","6,30,000",2001-07-15,
2573,iDreamCareer,"Ed-Tech Platform",nan,"New Delhi","ah! Ventures, Vivek Joshi, Mohit Satyanand & others","Seed Funding",N/A,2015-07-01,
2574,"Ola Cabs","Cab rental Mobile app",nan,Bangalore,"Ratan Tata","Private Equity",N/A,2015-07-01,"Personal Investment"
2575,NxtGen,"IT infrastructure & Data Center services",nan,Bangalore,"IFC, Axon Partners, Intel Capital","Private Equity","1,35,00,000",2015-07-01,"Series A"
2576,BankBazaar,"Online Financial Services",nan,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners","Private Equity","6,00,00,000",2015-07-02,"Series C\\n(More here)"
2577,Gozoomo,"Used Car Marketplace",nan,Bangalore,"SAIF Partners","Private Equity","50,00,000",2015-07-02,"Series A"
2578,Zenatix,"Internet of Things platform",nan,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna","Seed Funding","1,61,000",2015-07-02,
2579,CultureAlley,"Language Learning App",nan,Jaipur,"Tiger Global","Private Equity","65,00,000",2015-07-03,"Series A"
2580,Goqii,"Mobile Fitness Marketplace",nan,Mumbai,"Vijay Shekhar Sharma","Private Equity",N/A,2015-07-03,"Pre-Series A"
2581,Gingercrush,"Custom Merchandize platform",nan,Ahmedabad,"Gokul Jaykrishna, Brand Capital","Seed Funding","10,00,000",2015-07-03,
2582,Elanic,"P2P Pre-owned goods marketplace",nan,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy","Seed Funding",N/A,2015-07-04,
2583,Stitchwood,"Custom Furniture Marketplace",nan,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others","Seed Funding","3,95,000",2015-07-04,
2584,"Urban Tailor","Online Tailoring Services",nan,Bangalore,"Group of angel investors","Seed Funding",N/A,2015-07-05,
2585,ConfirmtTkt,"Rail Ticket Confirmation predictor",nan,Bangalore,"Pravin Agarwala & others","Seed Funding",N/A,2015-07-06,
2586,"Paper Boat","Ethnic Beverages manufacturer",nan,Gurgaon,"Sofina, Hillhouse Capital","Private Equity","3,00,00,000",2015-07-06,"Series B"
2587,getNow,"Hyperlocal Goods marketplace",nan,Nagpur,"Atulya Mittal","Seed Funding",N/A,2015-07-06,
2588,Wudstay,"Budget Accommodation aggregator",nan,Gurgaon,"Mangroves Capital Partners, Vikas Saxena","Private Equity","30,00,000",2015-07-07,"Series A"
2589,"Liases Foras","Real Estate Rating & Analysis",nan,"New Delhi","DMG information Asia Pacific","Private Equity","50,00,000",2015-07-07,"Series A"
2590,Eatlo,"Food Delivery platform",nan,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal","Seed Funding",N/A,2015-07-07,
2591,IndiaLends,"Financial Tech",nan,"New Delhi","DSG Consumer Partners, Siddharth Parekh","Private Equity",N/A,2015-07-07,"Pre-Series A"
2592,Quinto,"Food Discovery App",nan,Pune,"Jaydeep Barman","Seed Funding",N/A,2015-07-08,
2593,Saavn,"Music Streaming App",nan,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest","Private Equity","10,00,00,000",2015-07-08,"Series C"
2594,Flytxt,"Big Data & Analytics platform",nan,"Mumbai / Global","Sunrise Capital GmBH, Big Data Investments B.V","Private Equity","1,10,00,000",2015-07-08,"Series A"
2595,Axtria,"Big Data & Analytics platform",nan,"India / US","Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock","Private Equity","3,00,00,000",2015-07-08,"Series C"
2596,33Coupons,"Coupon Aggregator Platform",nan,Kanpur,"Not Disclosed","Seed Funding","20,000",2015-07-08,
2597,Ampere,"Electric Scooter manufacturer",nan,Coimbatore,"Ratan Tata","Seed Funding",N/A,2015-07-08,
2598,"Hopping Chef","Online Food-Tech Platform",nan,Mumbai,"Mirah Hospitality","Seed Funding","4,70,000",2015-07-08,"Strategic Investment"
2599,Collectabillia,"Celebrity Fashion Brand",nan,Bangalore,"Accel Partners","Private Equity","75,00,000",2015-07-08,"Series B"
2600,Lendingkart,"Online Finance lending platform",nan,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta","Private Equity","1,00,00,000",2015-07-08,"Series A"
2601,Lybrate,"Healthcare Mobile App",nan,"New Delhi","Tiger Global Management, Ratan Tata, Nexus Venture Partners","Private Equity","1,02,00,000",2015-07-08,"Series A"
2602,Zoomcar,"Self-driven vehicle rental",nan,Bangalore,"Sequoia Capital, Empire Angels, NGP","Private Equity","1,10,00,000",2015-07-08,"Series B"
2603,"\\xc2\\xa0News in shorts","\\xc2\\xa0News Aggregator mobile app",nan,\\xc2\\xa0Noida,"\\xc2\\xa0Tiger Global","Private Equity","\\xc2\\xa020,000,000",2015-07-09,"\\xc2\\xa0Series B"
2604,\\xc2\\xa0Bluestone,"\\xc2\\xa0Online Jewellery Store",nan,\\xc2\\xa0Bangalore,"\\xc2\\xa0IvyCap Ventures, Accel Partners, Dragoneer Investment Group","Private Equity","\\xc2\\xa016,200,000",2015-07-09,
2605,\\xc2\\xa0Shopsity,"\\xc2\\xa0Fashion Info Aggregator App",nan,\\xc2\\xa0Gurgaon,"\\xc2\\xa0 Sandeep Aggarwal, Teruhide Sato","Seed Funding",\\xc2\\xa0N/A,2015-07-09,
2606,\\xc2\\xa0Notesgen,"\\xc2\\xa0Online Study Notes Marketplace",nan,"\\xc2\\xa0New Delhi","\\xc2\\xa0Rajeev Saraf, Arvind Jha, R. Satya Narayanan","Seed Funding",\\xc2\\xa0N/A,2015-07-09,
